N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 10e-6 0.36e-6 0.65 0.0849764 26.7066 23368 0.999591 0.0270855
0.22e-6 0.28e-6 10e-6 0.36e-6 0.70 0.0789178 26.1124 20373.3 0.999591 0.0270024
0.22e-6 0.28e-6 10e-6 0.36e-6 0.75 0.0718748 25.3709 17168.1 0.999591 0.0268724
0.22e-6 0.28e-6 10e-6 0.36e-6 0.80 0.0634549 24.3968 13708.5 0.999591 0.0266674
0.22e-6 0.28e-6 10e-6 0.36e-6 0.85 0.0529898 23.0117 9951.47 0.999593 0.0263124
0.22e-6 0.28e-6 10e-6 0.36e-6 0.90 0.0397064 20.8685 6055.86 0.999601 0.0254298
0.22e-6 0.28e-6 10e-6 0.36e-6 0.95 0.0316144 19.4706 4375.64 0.999688 0.0213731
0.22e-6 0.28e-6 10e-6 0.36e-6 1.00 0.0419731 22.3537 8545.85 0.999727 0.0208025
0.22e-6 0.28e-6 10e-6 0.36e-6 1.05 0.0487561 24.2957 13392.9 0.999757 0.020052
0.22e-6 0.28e-6 10e-6 0.36e-6 1.10 0.0494153 25.3484 17080.7 0.999785 0.0190512
0.22e-6 0.28e-6 10e-6 0.36e-6 1.15 0.0483517 26.4388 21970 0.999815 0.0178448
0.22e-6 0.28e-6 10e-6 0.50e-6 0.55 0.0805374 23.7314 11752.5 0.999289 0.0355591
0.22e-6 0.28e-6 10e-6 0.50e-6 0.60 0.0764325 23.3135 10669.6 0.999287 0.0354948
0.22e-6 0.28e-6 10e-6 0.50e-6 0.65 0.0719275 22.8316 9543.91 0.999286 0.0354043
0.22e-6 0.28e-6 10e-6 0.50e-6 0.70 0.0668512 22.2583 8357.45 0.999286 0.0352678
0.22e-6 0.28e-6 10e-6 0.50e-6 0.75 0.06097 21.5492 7091.02 0.999286 0.0350553
0.22e-6 0.28e-6 10e-6 0.50e-6 0.80 0.0539083 20.6232 5719.76 0.999289 0.0346996
0.22e-6 0.28e-6 10e-6 0.50e-6 0.85 0.0451602 19.3461 4249.88 0.999302 0.0339375
0.22e-6 0.28e-6 10e-6 0.50e-6 0.90 0.0408551 18.9807 3903.21 0.999479 0.0283
0.22e-6 0.28e-6 10e-6 0.50e-6 0.95 0.0477113 20.7082 5834.51 0.99953 0.0274139
0.22e-6 0.28e-6 10e-6 0.50e-6 1.00 0.0519056 21.9883 7851.72 0.99957 0.0265859
0.22e-6 0.28e-6 10e-6 0.50e-6 1.05 0.0516416 22.7613 9391.29 0.999613 0.0254303
0.22e-6 0.28e-6 10e-6 0.50e-6 1.10 0.0503545 23.7139 11706.9 0.999664 0.0239486
0.22e-6 0.28e-6 10e-6 0.50e-6 1.15 0.0494731 25.1381 16270.3 0.999717 0.0222466
0.22e-6 0.28e-6 20e-6 0.28e-6 0.55 0.109778 27.7106 29449.4 0.99894 0.0451013
0.22e-6 0.28e-6 20e-6 0.28e-6 0.60 0.104804 27.3326 26990 0.998941 0.0450387
0.22e-6 0.28e-6 20e-6 0.28e-6 0.65 0.0993753 26.9001 24427.2 0.998942 0.0449554
0.22e-6 0.28e-6 20e-6 0.28e-6 0.70 0.0933731 26.3975 21752.4 0.998945 0.0448378
0.22e-6 0.28e-6 20e-6 0.28e-6 0.75 0.0866526 25.8014 18956.3 0.998949 0.0446708
0.22e-6 0.28e-6 20e-6 0.28e-6 0.80 0.079002 25.0726 16020.1 0.998956 0.0444332
0.22e-6 0.28e-6 20e-6 0.28e-6 0.85 0.0700792 24.1396 12913.4 0.998965 0.0440868
0.22e-6 0.28e-6 20e-6 0.28e-6 0.90 0.0593312 22.8612 9607.92 0.99898 0.043555
0.22e-6 0.28e-6 20e-6 0.28e-6 0.95 0.0459907 20.9427 6159.31 0.999005 0.0426302
0.22e-6 0.28e-6 20e-6 0.28e-6 1.00 0.0301595 17.9466 3065.03 0.999104 0.0395694
0.22e-6 0.28e-6 20e-6 0.28e-6 1.05 0.0287441 18.109 3184.04 0.999301 0.034494
0.22e-6 0.28e-6 20e-6 0.28e-6 1.10 0.0358041 20.6198 5715.39 0.999374 0.0332866
0.22e-6 0.28e-6 20e-6 0.28e-6 1.15 0.0368347 21.7705 7464.74 0.999442 0.0316535
0.22e-6 0.28e-6 20e-6 0.36e-6 0.55 0.0951796 24.651 14529.8 0.998432 0.054611
0.22e-6 0.28e-6 20e-6 0.36e-6 0.60 0.0904858 24.2442 13226.1 0.998434 0.0545114
0.22e-6 0.28e-6 20e-6 0.36e-6 0.65 0.0853862 23.78 11880.3 0.998438 0.0543804
0.22e-6 0.28e-6 20e-6 0.36e-6 0.70 0.0797646 23.2401 10485.6 0.998443 0.0541985
0.22e-6 0.28e-6 20e-6 0.36e-6 0.75 0.0734692 22.5965 9034.65 0.998451 0.0539405
0.22e-6 0.28e-6 20e-6 0.36e-6 0.80 0.0662731 21.8021 7516.04 0.998463 0.053566
0.22e-6 0.28e-6 20e-6 0.36e-6 0.85 0.0578075 20.7684 5913.63 0.998482 0.0529961
0.22e-6 0.28e-6 20e-6 0.36e-6 0.90 0.0474833 19.3185 4220.99 0.998516 0.052029
0.22e-6 0.28e-6 20e-6 0.36e-6 0.95 0.0352163 17.2691 2614.54 0.998623 0.0494174
0.22e-6 0.28e-6 20e-6 0.36e-6 1.00 0.0355055 17.9946 3099.5 0.998998 0.0416949
0.22e-6 0.28e-6 20e-6 0.36e-6 1.05 0.0394226 19.5405 4446.23 0.999089 0.0402078
0.22e-6 0.28e-6 20e-6 0.36e-6 1.10 0.0378048 20.1233 5092.12 0.999184 0.0382114
0.22e-6 0.28e-6 20e-6 0.36e-6 1.15 0.0355228 20.8829 6075.18 0.999291 0.0358057
0.22e-6 0.28e-6 20e-6 0.50e-6 0.55 0.0805555 20.7701 5912.59 0.9973 0.0712709
0.22e-6 0.28e-6 20e-6 0.50e-6 0.60 0.076414 20.3518 5365.09 0.997304 0.0711159
0.22e-6 0.28e-6 20e-6 0.50e-6 0.65 0.0719409 19.8774 4804.8 0.99731 0.0709136
